identificatie;naamOverheid;naam;stof;voertuigtype;wegsoort;schalingsfactor;tijdstipRegistratie;geometrie
09214908_750;Arnhem;Milieuzone Arnhem;PM2.5;z;e;0.848913021;9-2-2022 14:02;POLYGON((190311.357749574 443530.577094441,190132.543815248 443673.628241902,190460.369361512 444114.70261324,190817.997230165 444216.030509358,191324.636710755 444174.307258015,191431.925071351 443643.825919514,191396.162284486 443310.039908772,191193.50649225 443029.898078328,191193.50649225 443029.898078328,190311.357749574 443530.577094441))
09214908_751;Arnhem;Schone bussen Arnhem;NO2;b;b;0.14;9-2-2022 14:02;POLYGON((191293.423760613 447351.963964171,193076.282339482 446581.592973302,193076.282339482 446581.592973302,194639.034920959 443962.331604347,192922.208141308 442069.420026783,191051.307163483 441563.176232784,190060.830175223 439252.063260177,187221.462808877 439912.38125235,188938.289588528 445503.073586085,191293.423760613 447351.963964171))
09214908_751;Arnhem;Schone bussen Arnhem;NO2;b;c;0.14;9-2-2022 14:02;POLYGON((191293.423760613 447351.963964171,193076.282339482 446581.592973302,193076.282339482 446581.592973302,194639.034920959 443962.331604347,192922.208141308 442069.420026783,191051.307163483 441563.176232784,190060.830175223 439252.063260177,187221.462808877 439912.38125235,188938.289588528 445503.073586085,191293.423760613 447351.963964171))
09214908_751;Arnhem;Schone bussen Arnhem;NO2;b;d;0.14;9-2-2022 14:02;POLYGON((191293.423760613 447351.963964171,193076.282339482 446581.592973302,193076.282339482 446581.592973302,194639.034920959 443962.331604347,192922.208141308 442069.420026783,191051.307163483 441563.176232784,190060.830175223 439252.063260177,187221.462808877 439912.38125235,188938.289588528 445503.073586085,191293.423760613 447351.963964171))
09214908_751;Arnhem;Schone bussen Arnhem;NO2;b;e;0.14;9-2-2022 14:02;POLYGON((191293.423760613 447351.963964171,193076.282339482 446581.592973302,193076.282339482 446581.592973302,194639.034920959 443962.331604347,192922.208141308 442069.420026783,191051.307163483 441563.176232784,190060.830175223 439252.063260177,187221.462808877 439912.38125235,188938.289588528 445503.073586085,191293.423760613 447351.963964171))
09214908_751;Arnhem;Schone bussen Arnhem;PM10;b;b;0.36;9-2-2022 14:02;POLYGON((191293.423760613 447351.963964171,193076.282339482 446581.592973302,193076.282339482 446581.592973302,194639.034920959 443962.331604347,192922.208141308 442069.420026783,191051.307163483 441563.176232784,190060.830175223 439252.063260177,187221.462808877 439912.38125235,188938.289588528 445503.073586085,191293.423760613 447351.963964171))
09214908_751;Arnhem;Schone bussen Arnhem;PM10;b;c;0.36;9-2-2022 14:02;POLYGON((191293.423760613 447351.963964171,193076.282339482 446581.592973302,193076.282339482 446581.592973302,194639.034920959 443962.331604347,192922.208141308 442069.420026783,191051.307163483 441563.176232784,190060.830175223 439252.063260177,187221.462808877 439912.38125235,188938.289588528 445503.073586085,191293.423760613 447351.963964171))
09214908_751;Arnhem;Schone bussen Arnhem;PM10;b;d;0.36;9-2-2022 14:02;POLYGON((191293.423760613 447351.963964171,193076.282339482 446581.592973302,193076.282339482 446581.592973302,194639.034920959 443962.331604347,192922.208141308 442069.420026783,191051.307163483 441563.176232784,190060.830175223 439252.063260177,187221.462808877 439912.38125235,188938.289588528 445503.073586085,191293.423760613 447351.963964171))
09214908_751;Arnhem;Schone bussen Arnhem;PM10;b;e;0.36;9-2-2022 14:02;POLYGON((191293.423760613 447351.963964171,193076.282339482 446581.592973302,193076.282339482 446581.592973302,194639.034920959 443962.331604347,192922.208141308 442069.420026783,191051.307163483 441563.176232784,190060.830175223 439252.063260177,187221.462808877 439912.38125235,188938.289588528 445503.073586085,191293.423760613 447351.963964171))
09214908_751;Arnhem;Schone bussen Arnhem;NOx;b;b;0.26;9-2-2022 14:02;POLYGON((191293.423760613 447351.963964171,193076.282339482 446581.592973302,193076.282339482 446581.592973302,194639.034920959 443962.331604347,192922.208141308 442069.420026783,191051.307163483 441563.176232784,190060.830175223 439252.063260177,187221.462808877 439912.38125235,188938.289588528 445503.073586085,191293.423760613 447351.963964171))
09214908_751;Arnhem;Schone bussen Arnhem;NOx;b;c;0.26;9-2-2022 14:02;POLYGON((191293.423760613 447351.963964171,193076.282339482 446581.592973302,193076.282339482 446581.592973302,194639.034920959 443962.331604347,192922.208141308 442069.420026783,191051.307163483 441563.176232784,190060.830175223 439252.063260177,187221.462808877 439912.38125235,188938.289588528 445503.073586085,191293.423760613 447351.963964171))
