identificatie;naamOverheid;typeOverheid;straatnaam;wegnummer;rekenmethode;wegsoort;tunnelfactor;hoogte;taludSoort;overdrachtLinksSoort;overdrachtLinksAfstand;overdrachtLinksHoogte;overdrachtRechtsSoort;overdrachtRechtsHoogte;maximumsnelheid;maximumsnelheidDynamisch;intensiteitLichtVerkeer;intensiteitLichtVerkeerDynamisch;intensiteitMiddelzwaarVerkeer;intensiteitZwaarVerkeer;intensiteitBusVerkeer;stagnatiefactorLichtVerkeer;stagnatiefactorMiddelzwaarVerkeer;stagnatiefactorZwaarVerkeer;stagnatiefactorBusVerkeer;opmerking;tijdstipRegistratie;geometrie
34366966_1279516;Gemeente Amsterdam;G;Nieuwe Leeuwarderweg;;SRM1;b;1;-999;;;-999;-999;;-999;70;-999;25044;-999;791;536;593;0.05;0.05;0.05;0.05;MT2017_1426;27-9-2022 09:14;LINESTRING(124328.5199000019 490872.6475999989,124350.3480000009 490904.7945000009,124469 491075)
34366966_1279542;Gemeente Amsterdam;G;Baden Powellweg;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;7054;-999;70;26;56;0.15;0.15;0.15;0.15;MT2017_1542;27-9-2022 09:14;LINESTRING(114586.9999999999 484930,114599.264600001 484895.7886999989,114606 484877,114623 484830.9999999999,114630 484816,114636 484802.9999999999,114647.9999999999 484787,114668.9999999999 484762.9999999999,114691 484738.9999999999,114694.9999999999 484731.9999999999)
34366966_1279543;Gemeente Amsterdam;G;Meer en Vaart;;SRM1;c;1;-999;;;-999;-999;;-999;50;-999;6677;-999;118;45;154;0.19;0.19;0.19;0.19;MT2017_1573;27-9-2022 09:14;LINESTRING(115467 486019.9999999999,115547.2622000019 485769.964000002)
34366966_1279517;Gemeente Amsterdam;G;Holterbergweg;;SRM1;c;1;-999;;;-999;-999;;-999;50;-999;8050;-999;165;90;284;0.1;0.1;0.1;0.1;MT2017_1427;27-9-2022 09:14;LINESTRING(124365.9999999999 480363.9999999999,124496 480123.9999999999)
34366966_1279544;Gemeente Amsterdam;G;Meer en Vaart;;SRM1;c;1;-999;;;-999;-999;;-999;50;-999;6677;-999;118;45;154;0.19;0.19;0.19;0.19;MT2017_1575;27-9-2022 09:14;LINESTRING(115484 486024.9999999999,115528 485883.9999999999,115555.9999999999 485792,115561.3266 485774.9580000009)
34366966_1279545;Gemeente Amsterdam;G;Meer en Vaart;;SRM1;c;1;-999;;;-999;-999;;-999;50;-999;10503;-999;326;129;154;0.22;0.22;0.22;0.22;MT2017_1579;27-9-2022 09:14;LINESTRING(115547.2622000019 485769.964000002,115554 485749,115610.932999998 485577.6939999979)
34366966_1279518;Gemeente Amsterdam;G;Middenweg;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;11957;-999;192;174;146;0.2;0.2;0.2;0.2;MT2017_1432;27-9-2022 09:14;LINESTRING(125198.9999999999 483851,125253.9999999999 483797.9999999999,125270.054299999 483786.9695000019)
34366966_1279546;Gemeente Amsterdam;G;Meer en Vaart;;SRM1;c;1;-999;;;-999;-999;;-999;50;-999;10503;-999;326;129;154;0.22;0.22;0.22;0.22;MT2017_1581;27-9-2022 09:14;LINESTRING(115561.3266 485774.9580000009,115613.9999999999 485613,115626.8599999989 485573.9970000009)
34366966_1279547;Gemeente Amsterdam;G;Meer en Vaart;;SRM1;c;1;-999;;;-999;-999;;-999;50;-999;8116;-999;224;88;154;0.2;0.2;0.2;0.2;MT2017_1588;27-9-2022 09:14;LINESTRING(115626.550999999 485523.0500000009,115694.092799999 485318.078899998,115705.4963000009 485305.0348999979)
34366966_1279519;Gemeente Amsterdam;G;Middenweg;;SRM1;c;1;-999;;;-999;-999;;-999;50;-999;10176;-999;226;178;76;0.2;0.2;0.2;0.2;MT2017_1434;27-9-2022 09:14;LINESTRING(125270.054299999 483786.9695000019,125276.9999999999 483781.9999999999,125333.9999999999 483732.9999999999,125341.9999999999 483725.9999999999,125351.9999999999 483717,125364.9999999999 483704.9999999999,125374 483696.9999999999,125384 483687.9999999999,125391.9999999999 483682)
