identificatie;wegdeelIdentificatie;naamOverheid;naam;bebouwingstype;bomenfactor;toetspuntSoort;grondslag;opmerking;identificatiePandBAG;tijdstipRegistratie;geometrie
37161516_176961;;Hoogheemraadschap Hollands Noorderkwartier;Uitdammerdijk, Amsterdam;;;Alle;0;;;27-9-2022 09:37;POINT(130298.210644842 488957.089954646)
37161516_176979;;Hoogheemraadschap Hollands Noorderkwartier;Uitdammerdijk, Amsterdam;;;Alle;0;;;27-9-2022 09:37;POINT(130559.688498491 489815.600270275)
37161516_176981;;Hoogheemraadschap Hollands Noorderkwartier;Uitdammerdijk, Amsterdam;;;Alle;0;;;27-9-2022 09:37;POINT(130573.747548784 489918.450490243)
37161516_176983;;Hoogheemraadschap Hollands Noorderkwartier;Uitdammerdijk, Amsterdam;;;Alle;0;;;27-9-2022 09:37;POINT(130596.62393201 490016.895754424)
37161516_176985;37161516_108188;Hoogheemraadschap Hollands Noorderkwartier;Uitdammerdijk, Amsterdam;4;1.0;Alle;0;;;27-9-2022 09:37;POINT(130625.314653423 490112.834749578)
34362354_177742;34362354_108587;provincie Noord-Holland;Provincialeweg,Amsterdam;4;1.25;Alle;0;;;27-9-2022 09:37;POINT(129345.660560022 479826.783160017)
34362354_177743;34362354_108587;provincie Noord-Holland;Provincialeweg,Amsterdam;4;1.25;Alle;0;;;27-9-2022 09:37;POINT(129320.339439978 479807.216839983)
34362354_177744;34362354_108588;provincie Noord-Holland;Provincialeweg,Amsterdam;4;1.25;Alle;0;;;27-9-2022 09:37;POINT(129414.216600449 479750.409990112)
34362354_177745;34362354_108588;provincie Noord-Holland;Provincialeweg,Amsterdam;4;1.25;Alle;0;;;27-9-2022 09:37;POINT(129391.783399551 479727.590009888)
34362354_177746;34362354_108589;provincie Noord-Holland;Provincialeweg,Amsterdam;4;1.25;Alle;0;;;27-9-2022 09:37;POINT(129492.494876918 479683.118596148)
34362354_177747;34362354_108589;provincie Noord-Holland;Provincialeweg,Amsterdam;4;1.25;Alle;0;;;27-9-2022 09:37;POINT(129471.505123082 479656.881403852)
34362354_178376;34362354_108904;provincie Noord-Holland;Provincialeweg,Amsterdam;4;1.0;Alle;0;;;27-9-2022 09:37;POINT(129621.020808363 479591.859167989)
34362354_178378;34362354_108905;provincie Noord-Holland;Provincialeweg,Amsterdam;4;1.0;Alle;0;;;27-9-2022 09:37;POINT(129711.578586817 479550.487054956)
34362354_178380;;provincie Noord-Holland;Provincialeweg,Amsterdam;;;Alle;0;wt;;27-9-2022 09:37;POINT(129807.225723801 479519.902895206)
34362354_178381;;provincie Noord-Holland;Provincialeweg,Amsterdam;;;Alle;0;wt;;27-9-2022 09:37;POINT(129800.774276199 479494.097104794)
34362354_178382;;provincie Noord-Holland;Provincialeweg,Amsterdam;;;Alle;0;wt;;27-9-2022 09:37;POINT(129904.664170303 479504.283406059)
34362354_178383;;provincie Noord-Holland;Provincialeweg,Amsterdam;;;Alle;0;wt;;27-9-2022 09:37;POINT(129903.335829697 479477.716593941)
34362354_178384;;provincie Noord-Holland;Provincialeweg,Amsterdam;;;Alle;0;wt;;27-9-2022 09:37;POINT(130004.516683081 479505.291215275)
34362354_178385;;provincie Noord-Holland;Provincialeweg,Amsterdam;;;Alle;0;wt;;27-9-2022 09:37;POINT(130005.483316919 479478.708784725)
