segment_id;nwb_weg_id;nwb_versie;begin_pos;eind_pos;overheidid;overheid;straatnaam;straatnr;wegbeheer;hoogte;x;y;wegtype;snelheid;tun_factor;boom_fact;maxsnelh_p;maxs_p_dyn;maxsnelh_v;a_rand_l;a_gevel_l;bebdicht_l;a_toepas_l;a_scherm_l;s_hoogte_l;a_rand_r;a_gevel_r;bebdicht_r;a_toepas_r;a_scherm_r;s_hoogte_r;stagf_lv;int_lv;int_lv_dyn;stagf_mv;int_mv;stagf_zv;int_zv;stagf_bv;int_bv;opmerking;gewijzigd;geomet_wkt;actie
121412;308327055;801;0;1;307;Amersfoort;Amsterdamseweg;;G;0;154317.00;463542.00;0;c;1;1;50;;50;0.10;;;;0.00;0.00;0.10;;;;0.00;0.00;0.000000;6322;0;0.000000;389;0.000000;109;0.000000;0;;27-05-2020 11:01:31;LINESTRING(154288 463561,154333 463531,154346 463522);u
121413;308327061;801;0.000646038;0.332845;307;Amersfoort;Amsterdamseweg;;G;0;154112.00;463673.00;0;c;1;1;50;;50;0.10;;;;0.00;0.00;0.10;;;;0.00;0.00;0.000000;8070;0;0.000000;496;0.000000;139;0.000000;0;;27-05-2020 11:01:31;LINESTRING(154066 463706,154077 463698,154107 463677,154159 463641);u
121414;308327061;801;0.66672;1;307;Amersfoort;Amsterdamseweg;;G;0;154297.00;463541.00;0;c;1;1;50;;50;0.10;;;;0.00;0.00;0.10;;;;0.00;0.00;0.100000;8070;0;0.100000;496;0.100000;139;0.000000;0;;03-06-2020 12:18:27;LINESTRING(154252 463575,154283 463553,154340 463503);u
121415;308327092;801;0;0.248837;307;Amersfoort;De Nieuwe Poort;;G;0;154379.00;463480.00;0;c;1;1;50;;50;0.10;;;;0.00;0.00;0.10;;;;0.00;0.00;0.100000;10765;0;0.100000;662;0.100000;186;0.000000;0;;03-06-2020 12:18:44;LINESTRING(154340 463503,154382 463479,154414 463452);u
121416;308327092;801;0.248837;0.499542;307;Amersfoort;De Nieuwe Poort;;G;0;154449.00;463423.00;0;c;1;1;50;;50;0.10;;;;0.00;0.00;0.10;;;;0.00;0.00;0.100000;10765;0;0.100000;662;0.100000;186;0.000000;0;;03-06-2020 12:19:02;LINESTRING(154414 463452,154484 463394);u
121417;308327092;801;0.499542;0.750247;307;Amersfoort;De Nieuwe Poort;;G;0;154519.00;463365.00;0;c;1;1;50;;50;0.10;;;;0.00;0.00;0.10;;;;0.00;0.00;0.100000;10765;0;0.100000;662;0.100000;186;0.000000;0;;03-06-2020 12:19:19;LINESTRING(154484 463394,154554 463336);u
121418;308327092;801;0.750247;0.998835;307;Amersfoort;De Nieuwe Poort;;G;0;154589.00;463307.00;0;c;1;1;50;;50;0.10;;;;0.00;0.00;0.10;;;;0.00;0.00;0.000000;12826;0;0.000000;789;0.000000;221;0.000000;0;;27-05-2020 11:01:31;LINESTRING(154554 463336,154623 463278);u
121419;308327093;801;0;0.249948;307;Amersfoort;De Nieuwe Poort;;G;0;154379.00;463490.00;0;c;1;1;50;;50;0.10;;;;0.00;0.00;0.10;;;;0.00;0.00;0.000000;12007;0;0.000000;738;0.000000;207;0.000000;0;;27-05-2020 11:01:32;LINESTRING(154346 463522,154395 463475,154414 463460);u
121420;308327093;801;0.249948;0.50048;307;Amersfoort;De Nieuwe Poort;;G;0;154449.00;463430.00;0;c;1;1;50;;50;0.10;;;;0.00;0.00;0.10;;;;0.00;0.00;0.000000;12007;0;0.000000;738;0.000000;207;0.000000;0;;27-05-2020 11:01:32;LINESTRING(154414 463460,154485 463401);u
121421;308327093;801;0.50048;0.749293;307;Amersfoort;De Nieuwe Poort;;G;0;154521.00;463372.00;0;c;1;1;50;;50;0.10;;;;0.00;0.00;0.10;;;;0.00;0.00;0.000000;12007;0;0.000000;738;0.000000;207;0.000000;0;;27-05-2020 11:01:32;LINESTRING(154485 463401,154556 463343);u
121422;308327093;801;0.749293;1;307;Amersfoort;De Nieuwe Poort;;G;0;154593.00;463314.00;0;c;1;1;50;;50;0.10;;;;0.00;0.00;0.10;;;;0.00;0.00;0.100000;13031;0;0.100000;801;0.100000;225;0.000000;0;;03-06-2020 12:20:17;LINESTRING(154556 463343,154561 463340,154629 463286);u
121423;308328038;801;0;1;307;Amersfoort;Industrieweg;;G;0;154037.00;464073.00;0;c;1;1;50;;50;0.10;;;;0.00;0.00;0.10;;;;0.00;0.00;0.100000;9815;0;0.100000;382;0.100000;134;0.000000;0;;03-06-2020 12:11:46;LINESTRING(154025 464060,154048 464086);u
